anzsic06,Area,year,geo_count,ec_count
A012,A203600,2000,0,0
A012,A203700,2000,3,0
A012,A203800,2000,0,6
A012,A204100,2000,0,0
A012,A204200,2000,6,0
A012,A204400,2000,0,0
A012,A204500,2000,0,6
A012,A204600,2000,0,0
A012,A204800,2000,6,6
A012,A205000,2000,0,3
A012,A205100,2000,12,60
A012,A205200,2000,3,3
A012,A205300,2000,21,210
A012,A205400,2000,39,130
A012,A205600,2000,6,0
A012,A206000,2000,3,0
A012,A206100,2000,0,0
A012,A206300,2000,3,0
A012,A206600,2000,3,0
A012,A206800,2000,0,0
A012,A207000,2000,3,0
A012,A207300,2000,3,0
A012,A207700,2000,6,0
A012,A207800,2000,0,0
A012,A207900,2000,3,9
A012,A208000,2000,6,12
